[2017-03-06 16:37:17]WorkStatu [rcvTime=2017-03-06 16:19:24.899, imei=800000000000044, msgTime=2017-03-06 16:18:56.246, pgnId=13, listItem={72=1, 73=0}]
[2017-03-06 16:37:17]WorkStatu [rcvTime=2017-03-06 16:19:20.149, imei=800000000000004, msgTime=2017-03-06 16:18:52.246, pgnId=13, listItem={72=1, 73=0}]
[2017-03-06 16:37:17]WorkStatu [rcvTime=2017-03-06 16:19:22.774, imei=800000000000014, msgTime=2017-03-06 16:18:54.246, pgnId=13, listItem={72=1, 73=0}]
[2017-03-06 16:37:17]WorkStatu [rcvTime=2017-03-06 16:19:22.868, imei=800000000000008, msgTime=2017-03-06 16:18:54.246, pgnId=13, listItem={72=1, 73=0}]
[2017-03-06 16:37:18]WorkStatu [rcvTime=2017-03-06 16:18:52.164, imei=800000000000016, msgTime=2017-03-06 16:18:24.246, pgnId=13, listItem={72=1, 73=0}]
[2017-03-06 16:37:19]WorkStatu [rcvTime=2017-03-06 16:19:09.508, imei=800000000000017, msgTime=2017-03-06 16:18:41.246, pgnId=13, listItem={72=1, 73=0}]
[2017-03-06 16:37:20]WorkStatu [rcvTime=2017-03-06 16:19:23.711, imei=800000000000037, msgTime=2017-03-06 16:18:25.223, pgnId=13, listItem={72=1, 73=0}]
[2017-03-06 16:37:21]WorkStatu [rcvTime=2017-03-06 16:19:23.711, imei=800000000000037, msgTime=2017-03-06 16:18:55.246, pgnId=13, listItem={72=1, 73=0}]
[2017-03-06 16:37:21]WorkStatu [rcvTime=2017-03-06 16:19:05.336, imei=800000000000005, msgTime=2017-03-06 16:18:37.246, pgnId=13, listItem={72=1, 73=0}]
[2017-03-06 16:37:21]WorkStatu [rcvTime=2017-03-06 16:19:25.196, imei=800000000000003, msgTime=2017-03-06 16:18:27.223, pgnId=13, listItem={72=1, 73=0}]
[2017-03-06 16:37:22]WorkStatu [rcvTime=2017-03-06 16:19:07.211, imei=800000000000022, msgTime=2017-03-06 16:18:39.246, pgnId=13, listItem={72=1, 73=0}]
[2017-03-06 16:37:22]WorkStatu [rcvTime=2017-03-06 16:19:24.618, imei=800000000000048, msgTime=2017-03-06 16:18:56.246, pgnId=13, listItem={72=1, 73=0}]
[2017-03-06 16:37:22]WorkStatu [rcvTime=2017-03-06 16:19:26.008, imei=800000000000042, msgTime=2017-03-06 16:18:57.246, pgnId=13, listItem={72=1, 73=0}]
[2017-03-06 16:37:23]WorkStatu [rcvTime=2017-03-06 16:19:30.102, imei=800000000000018, msgTime=2017-03-06 16:19:02.246, pgnId=13, listItem={72=1, 73=0}]
[2017-03-06 16:37:23]WorkStatu [rcvTime=2017-03-06 16:19:34.508, imei=800000000000036, msgTime=2017-03-06 16:19:06.246, pgnId=13, listItem={72=1, 73=0}]
[2017-03-06 16:37:24]WorkStatu [rcvTime=2017-03-06 16:19:21.071, imei=800000000000039, msgTime=2017-03-06 16:18:53.246, pgnId=13, listItem={72=1, 73=0}]
[2017-03-06 16:37:24]WorkStatu [rcvTime=2017-03-06 16:19:34.993, imei=800000000000010, msgTime=2017-03-06 16:18:36.223, pgnId=13, listItem={72=1, 73=0}]
[2017-03-06 16:37:24]WorkStatu [rcvTime=2017-03-06 16:19:25.711, imei=800000000000028, msgTime=2017-03-06 16:18:57.246, pgnId=13, listItem={72=1, 73=0}]
[2017-03-06 16:37:24]WorkStatu [rcvTime=2017-03-06 16:19:45.336, imei=800000000000019, msgTime=2017-03-06 16:18:47.223, pgnId=13, listItem={72=1, 73=0}]
[2017-03-06 16:37:25]WorkStatu [rcvTime=2017-03-06 16:19:18.805, imei=800000000000027, msgTime=2017-03-06 16:18:50.246, pgnId=13, listItem={72=1, 73=0}]
[2017-03-06 16:37:26]WorkStatu [rcvTime=2017-03-06 16:19:26.852, imei=800000000000007, msgTime=2017-03-06 16:18:58.246, pgnId=13, listItem={72=1, 73=0}]
[2017-03-06 16:37:26]WorkStatu [rcvTime=2017-03-06 16:19:06.352, imei=800000000000016, msgTime=2017-03-06 16:18:38.246, pgnId=13, listItem={72=1, 73=0}]
[2017-03-06 16:37:26]WorkStatu [rcvTime=2017-03-06 16:19:07.493, imei=800000000000032, msgTime=2017-03-06 16:18:39.246, pgnId=13, listItem={72=1, 73=0}]
[2017-03-06 16:37:27]WorkStatu [rcvTime=2017-03-06 16:19:19.571, imei=800000000000017, msgTime=2017-03-06 16:18:51.246, pgnId=13, listItem={72=1, 73=0}]
[2017-03-06 16:37:27]WorkStatu [rcvTime=2017-03-06 16:19:23.743, imei=800000000000023, msgTime=2017-03-06 16:18:55.246, pgnId=13, listItem={72=1, 73=0}]
[2017-03-06 16:37:28]WorkStatu [rcvTime=2017-03-06 16:19:34.680, imei=800000000000026, msgTime=2017-03-06 16:19:06.246, pgnId=13, listItem={72=1, 73=0}]
[2017-03-06 16:37:29]WorkStatu [rcvTime=2017-03-06 16:19:19.383, imei=800000000000001, msgTime=2017-03-06 16:18:51.246, pgnId=13, listItem={72=1, 73=0}]
[2017-03-06 16:37:30]WorkStatu [rcvTime=2017-03-06 16:19:32.118, imei=800000000000045, msgTime=2017-03-06 16:19:04.246, pgnId=13, listItem={72=1, 73=0}]
[2017-03-06 16:37:30]WorkStatu [rcvTime=2017-03-06 16:19:11.352, imei=800000000000005, msgTime=2017-03-06 16:18:43.246, pgnId=13, listItem={72=1, 73=0}]
[2017-03-06 16:37:30]WorkStatu [rcvTime=2017-03-06 16:19:13.852, imei=800000000000030, msgTime=2017-03-06 16:18:45.246, pgnId=13, listItem={72=1, 73=0}]
[2017-03-06 16:37:31]WorkStatu [rcvTime=2017-03-06 16:19:16.993, imei=800000000000047, msgTime=2017-03-06 16:18:48.246, pgnId=13, listItem={72=1, 73=0}]
[2017-03-06 16:37:31]WorkStatu [rcvTime=2017-03-06 16:19:29.805, imei=800000000000032, msgTime=2017-03-06 16:19:01.246, pgnId=13, listItem={72=1, 73=0}]
[2017-03-06 16:37:31]WorkStatu [rcvTime=2017-03-06 16:19:14.290, imei=800000000000029, msgTime=2017-03-06 16:18:46.246, pgnId=13, listItem={72=1, 73=0}]
[2017-03-06 16:37:31]WorkStatu [rcvTime=2017-03-06 16:19:32.696, imei=800000000000046, msgTime=2017-03-06 16:19:04.246, pgnId=13, listItem={72=1, 73=0}]
[2017-03-06 16:37:31]WorkStatu [rcvTime=2017-03-06 16:19:27.040, imei=800000000000038, msgTime=2017-03-06 16:18:58.246, pgnId=13, listItem={72=1, 73=0}]
