[2017-03-06 16:37:54]WorkStatu [rcvTime=2017-03-06 16:19:29.805, imei=800000000000032, msgTime=2017-03-06 16:19:12.990, pgnId=14, listItem={74=1}]
[2017-03-06 16:37:54]WorkStatu [rcvTime=2017-03-06 16:19:42.243, imei=800000000000045, msgTime=2017-03-06 16:19:25.990, pgnId=14, listItem={74=1}]
[2017-03-06 16:37:55]WorkStatu [rcvTime=2017-03-06 16:19:45.024, imei=800000000000027, msgTime=2017-03-06 16:19:27.990, pgnId=14, listItem={74=1}]
[2017-03-06 16:37:55]WorkStatu [rcvTime=2017-03-06 16:19:49.133, imei=800000000000010, msgTime=2017-03-06 16:19:32.990, pgnId=14, listItem={74=1}]
[2017-03-06 16:37:56]WorkStatu [rcvTime=2017-03-06 16:19:49.727, imei=800000000000006, msgTime=2017-03-06 16:19:32.990, pgnId=14, listItem={74=1}]
[2017-03-06 16:37:56]WorkStatu [rcvTime=2017-03-06 16:19:38.711, imei=800000000000016, msgTime=2017-03-06 16:19:21.990, pgnId=14, listItem={74=1}]
[2017-03-06 16:37:57]WorkStatu [rcvTime=2017-03-06 16:19:53.165, imei=800000000000013, msgTime=2017-03-06 16:19:36.990, pgnId=14, listItem={74=1}]
[2017-03-06 16:37:57]WorkStatu [rcvTime=2017-03-06 16:19:33.852, imei=800000000000028, msgTime=2017-03-06 16:19:16.990, pgnId=14, listItem={74=1}]
[2017-03-06 16:37:57]WorkStatu [rcvTime=2017-03-06 16:19:51.993, imei=800000000000040, msgTime=2017-03-06 16:19:34.990, pgnId=14, listItem={74=1}]
[2017-03-06 16:37:58]WorkStatu [rcvTime=2017-03-06 16:19:56.618, imei=800000000000041, msgTime=2017-03-06 16:19:09.988, pgnId=14, listItem={74=1}]
[2017-03-06 16:37:58]WorkStatu [rcvTime=2017-03-06 16:19:45.055, imei=800000000000024, msgTime=2017-03-06 16:18:57.988, pgnId=14, listItem={74=1}]
[2017-03-06 16:37:59]WorkStatu [rcvTime=2017-03-06 16:19:49.993, imei=800000000000023, msgTime=2017-03-06 16:19:32.990, pgnId=14, listItem={74=1}]
[2017-03-06 16:37:59]WorkStatu [rcvTime=2017-03-06 16:19:50.024, imei=800000000000037, msgTime=2017-03-06 16:19:32.990, pgnId=14, listItem={74=1}]
[2017-03-06 16:37:59]WorkStatu [rcvTime=2017-03-06 16:20:02.962, imei=800000000000046, msgTime=2017-03-06 16:19:45.990, pgnId=14, listItem={74=1}]
